file,team_id,player,owner,event,rank,date,pokepaste,species
003_miraidon-calyrexice.txt,I164,Atalanta,wandali11688951,-,-,29 Apr 2025,https://pokepast.es/3aa45a2a98952af7,Miraidon / Calyrex-Ice / Whimsicott / Ogerpon-Hearthflame / Farigiraf / Urshifu-Rapid-Strike
004_miraidon-calyrexice.txt,I166,Atalanta,wandali11688951,-,-,29 Apr 2025,https://pokepast.es/3d1c25d722df1949,Miraidon / Calyrex-Ice / Whimsicott / Ogerpon-Hearthflame / Farigiraf / Iron Hands
005_calyrexshadow-koraidon.txt,I167,Atalanta,wandali11688951,-,-,29 Apr 2025,https://pokepast.es/407e3e0f7067052f,Calyrex-Shadow / Koraidon / Whimsicott / Clefairy / Walking Wake / Chien-Pao
006_terapagos-calyrexshadow.txt,I172,Atalanta,wandali11688951,-,-,29 Apr 2025,https://pokepast.es/4375485098fdde40,Terapagos / Calyrex-Shadow / Incineroar / Rillaboom / Amoonguss / Urshifu-Rapid-Strike
007_miraidon-calyrexice.txt,I165,Atalanta,wandali11688951,-,-,29 Apr 2025,https://pokepast.es/6735396b2c68ad9a,Miraidon / Calyrex-Ice / Iron Valiant / Volcarona / Urshifu-Rapid-Strike / Farigiraf
009_groudon-lunala.txt,I173,Atalanta,wandali11688951,-,-,29 Apr 2025,https://pokepast.es/7cad11b4edb1cf8d,Groudon / Lunala / Indeedee-F / Roaring Moon / Urshifu / Ogerpon-Hearthflame
010_miraidon-calyrexice.txt,I163,Atalanta,wandali11688951,-,-,29 Apr 2025,https://pokepast.es/873b39d35dd5b1d5,Miraidon / Calyrex-Ice / Grimmsnarl / Volcarona / Ditto / Iron Hands
011_hooh-miraidon.txt,I171,Atalanta,wandali11688951,-,-,29 Apr 2025,https://pokepast.es/8a2335a101620d91,Ho-Oh / Miraidon / Urshifu-Rapid-Strike / Iron Treads / Iron Hands / Grimmsnarl
012_hooh-koraidon.txt,I170,Atalanta,wandali11688951,-,-,29 Apr 2025,https://pokepast.es/996528e5b3fdea32,Ho-Oh / Koraidon / Raging Bolt / Amoonguss / Flutter Mane / Chien-Pao
016_lunala-koraidon.txt,I169,Atalanta,wandali11688951,-,-,29 Apr 2025,https://pokepast.es/df043153701d1520,Lunala / Koraidon / Flutter Mane / Indeedee-F / Ogerpon-Cornerstone / Ursaluna
